CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
BW,SAfr,-19.8,9.8,17.2,-46.1,11.9,25.13,-17.84
BW,SAfr,-20.1,11.9,17,-40.7,15.3,27.57,-21.65
BW,SAfr,-21.3,9.5,19.4,-30.5,14.2,27.57,-21.65
BW,SAfr,-20.2,8.9,19.6,-28.3,12.9,27.57,-21.65
BW,SAfr,-21,9.7,16.9,-32.5,10.1,27.57,-21.65
BW,SAfr,-21.8,11.5,15.9,-36.7,15.4,23.34,-19.8
BW,SAfr,-20.9,8.6,16.6,-44.5,16.8,23.34,-19.8
BW,SAfr,-21.8,9.3,17.5,-44.4,13.1,23.34,-19.8
BW,SAfr,-21.4,9.5,16.5,-49.5,11.7,25.13,-17.84
BW,SAfr,-21.6,8.5,20.5,-38.1,12.6,25.13,-17.84
BW,SAfr,-16.1,10.6,16.5,-46.2,11.4,25.13,-17.84
BW,SAfr,-20.3,11.1,17.7,-37.2,14.9,23.34,-19.8
BW,SAfr,-19.6,9.6,16.9,-33.7,11,28.91,-22.2
BW,SAfr,-21.4,9.3,14.8,-26.8,7.3,27.73,-21.87
BW,SAfr,-20.7,9.7,15.6,-32,7.3,27.73,-21.87
